Startup_Name,Industry,City,Investors,Round_Type,Amount_USD,Year,Amount_in_Crores
Bluegape,E-Commerce,New Delhi,"Ah! ventures, Times internet, Rudy gopalakrishnan",Seed Funding,4950000.0,2015,0.495
Bluegape,E-Commerce,Gurugram,"Rudy gopalakrishnan, Ah! ventures",Seed Funding,1650000.0,2015,0.165
BlueStone,E-Commerce,Bengaluru,"ivycap ventures, Accel partners, Dragoneer investment group",Private Equity,133650000.0,2015,13.365
Bona Vita,Travel,Gurugram,Makemytrip,Private Equity,41250000.0,2015,4.125
Bonhomia,Lifestyle,New Delhi,"Kanwaljit singh, Shripad nadkarni, Sarvesh shahra & others",Seed Funding,16500000.0,2015,1.65
BookMeIn,Services,Mumbai,Ajmera group of companies,Seed Funding,3300000.0,2015,0.33
BookMyBai,Services,Mumbai,Vineel nalla & others,Seed Funding,1240000.0,2015,0.124
Box8,Delivery,Mumbai,Mayfield ventures,Private Equity,28880000.0,2015,2.888
Boxmyspace,Logistics,Mumbai,"Ritesh veera, Singapore angel network, Orios venture partners,",Seed Funding,2480000.0,2015,0.248
Briston Technomach,IoT,New Delhi,Undisclosed,Seed Funding,1240000.0,2015,0.124
BroEx,Real Estate,Gurugram,Lightspeed india,Private Equity,8250000.0,2015,0.825
Bueno,Delivery,Gurugram,High networth individuals (no details),Seed Funding,4950000.0,2015,0.495
Bumper,Delivery,Bengaluru,Saif partners,Seed Funding,4130000.0,2015,0.413
Burger Singh,Food,Gurugram,"Ashvin chadha, Avtar monga, Udaan angels, Dheeraj jain",Seed Funding,4130000.0,2015,0.413
BuyHatke,E-Commerce,Bengaluru,"S.gopalakrishnan, Beenos",Seed Funding,8250000.0,2015,0.825
Cabsguru,Transportation,New Delhi,Prashanth ranganathan,Seed Funding,1650000.0,2015,0.165
CanvasFlip,Design,Hyderabad,Bessemer venture partners,Seed Funding,9900000.0,2015,0.99
Canvera,Consumer Internet,Bengaluru,Info edge (india) ltd,Private Equity,18150000.0,2015,1.815
Capabiliti,Education,Noida,"500 startups, Smile multimedia, Kunal bahl, Rohit bansal, Girish matrubootham",Seed Funding,3300000.0,2015,0.33
Capillary Tech,Cloud Tech,New Delhi,"Warburg pincus, Sequoia capital, Norwest venture partners",Private Equity,371250000.0,2015,37.125
Capital Float,Finance,Bengaluru,"Saif partners, Sequoia capital, Aspada",Private Equity,107250000.0,2015,10.725
Capricoast,Travel,Bengaluru,"Accel partners india, Rb investments",Private Equity,28880000.0,2015,2.888
Capricoast,Travel,Bengaluru,Accel partners india,Seed Funding,10310000.0,2015,1.031
Caratlane,Personal Care,Chennai,Tiger global,Private Equity,255750000.0,2015,25.575
Caravan Craft,Households,Bengaluru,"Unitus seed fund, Bijou kurien, Narayan ramachandran",Private Equity,9900000.0,2015,0.99
Caravan Craft,Households,Bengaluru,"Unitus seed fund\\nnarayan ramachandran, Bijou kurien",Seed Funding,4130000.0,2015,0.413
CarDekho,Automotive,Jaipur,"Hillhouse capital, Tybourne capital",Private Equity,412500000.0,2015,41.25
Care24,Healthcare,Mumbai,India quotient,Seed Funding,2890000.0,2015,0.289
Carl's Jr,Personal Care,Gurugram,Youwecan ventures,Seed Funding,5200000.0,2015,0.52
CaRPM,Transportation,Gurugram,Ghv accelerator,Seed Funding,830000.0,2015,0.083
Casa2inns,Hospitality,New Delhi,"Accel partners, Kalaari capital",Private Equity,41250000.0,2015,4.125
CashKaro,FinTech,Gurugram,Kalaari capital,Private Equity,30530000.0,2015,3.053
CBREX,Services,Mumbai,"Prahlad rao, Sundara rajan, Vikram chachra",Seed Funding,1650000.0,2015,0.165
CBS,Media,Mumbai,Hyderabad angels (at startup heroes event),Seed Funding,130000.0,2015,0.013
Chaayos,Food,New Delhi,Tiger global management,Private Equity,8250000.0,2015,0.825
Chai Point,Food,Bengaluru,Eight roads ventures,Private Equity,82500000.0,2015,8.25
Changer Mints,Food,Kolkata,Hyderabad based investor,Seed Funding,1360000.0,2015,0.136
ChargeBee,FinTech,Chennai,"Tiger global, Accel partners",Private Equity,41250000.0,2015,4.125
Chargein,FinTech,Bengaluru,Pittie group,Seed Funding,830000.0,2015,0.083
Chefs Basket,Food,Mumbai,"Saif partners, Haresh chawla",Private Equity,49500000.0,2015,4.95
Chillr,FinTech,Mumbai,"Sequoia capital, Blume ventures, Uniqorn ventures and other",Private Equity,577500000.0,2015,57.75
Chillr,FinTech,Mumbai,Sequoia capital,Private Equity,49500000.0,2015,4.95
Chloroplast Foods,Food,Mumbai,Group of angel investors,Seed Funding,140000.0,2015,0.014
Citrus Payment,FinTech,Mumbai,"Sequoia capital, Ascent capital, Econtext asia, Beenos asia",Private Equity,206250000.0,2015,20.625
CityFlo,Transportation,Mumbai,Idg ventures,Seed Funding,6190000.0,2015,0.619
Clapsnslaps,Media,Mumbai,R m picture company pvt. ltd.,Seed Funding,1240000.0,2015,0.124
CleverSharks,Technology,Bengaluru,Group of angel investors,Seed Funding,140000.0,2015,0.014
Clonect Solutions,Technology,Bengaluru,"V balakrishnan, T v mohandas pai, Bc prabhakar",Seed Funding,2060000.0,2015,0.206
Cloud Lending,FinTech,Bengaluru,Sf capital group,Private Equity,66000000.0,2015,6.6
CloudCherry,Cloud Tech,Chennai,"The chennai angels, Idg ventures india",Seed Funding,8250000.0,2015,0.825
Clovia,Personal Care,New Delhi,Ivycap ventures,Private Equity,41250000.0,2015,4.125
CollateBox,E-Commerce,Pune,Letsventure,Seed Funding,1490000.0,2015,0.149
Collectabillia,E-Commerce,Bengaluru,Accel partners,Private Equity,61880000.0,2015,6.188
CollegeDekho,EdTech,Jaipur,Girnarsoft,Seed Funding,8250000.0,2015,0.825
Commeasure,Data Analytics,Noida,Jungle ventures,Seed Funding,8250000.0,2015,0.825
Commonfloor,Real Estate,Bengaluru,Google capital,Private Equity,41250000.0,2015,4.125
Connect India,Logistics,New Delhi,Aavishkaar,Private Equity,41250000.0,2015,4.125
Convegenius,Internet,Noida,Enablers platform,Seed Funding,2480000.0,2015,0.248
Cooey,Healthcare,Bengaluru,Subhash goyal,Seed Funding,3880000.0,2015,0.388
Coolshare,Transportation,Mumbai,Gopal aggarwal,Seed Funding,830000.0,2015,0.083
Corporate360,Data Analytics,Kochi,Group of angel investors,Seed Funding,1650000.0,2015,0.165
couponmachine.in,Finance,New Delhi,Uk based group of angel investors,Seed Funding,1160000.0,2015,0.116
CouponRaja,Finance,Mumbai,"Mahesh pratapneni, Pallab chatterjee & others",Seed Funding,4130000.0,2015,0.413
CoverFox,FinTech,Mumbai,"Accel us, Accel india, Saif partners.",Private Equity,99000000.0,2015,9.9
CoverFox,FinTech,Mumbai,Cataraman ventures,Private Equity,16500000.0,2015,1.65
Craftstvilla,E-Commerce,Mumbai,"Sequoia capital, Nexus venture partners, Lightspeed ventures, Gfc",Private Equity,148500000.0,2015,14.85
CraftsVilla,E-Commerce,Mumbai,"Sequoia india, Lightspeed venture partners, Nexus venture partners, Global founders capital, Apoletto",Private Equity,280500000.0,2015,28.05
Credit Mantri,FinTech,Chennai,"Idg ventures india, Elevar equity, Accion venture lab",Private Equity,20630000.0,2015,2.063
CredR,Automotive,Mumbai,Eight road ventures,Private Equity,123750000.0,2015,12.375
Crowdfire (formerly Justunfollow),Marketing,Mumbai,Kalaari capital,Private Equity,20630000.0,2015,2.063
CrownIt,Services,Gurugram,"Accel partners, Helion venture partners",Private Equity,45380000.0,2015,4.538
Cube26,Technology,New Delhi,"Tiger global management, Flipkart",Private Equity,63530000.0,2015,6.353
Cubito,E-Commerce,Bengaluru,Sol primero,Seed Funding,1320000.0,2015,0.132
Culture Machine,Entertainment,Mumbai,"Tiger global, Times internet, Zodius capital",Private Equity,148500000.0,2015,14.85
CultureAlley,Education,Jaipur,Tiger global,Private Equity,53630000.0,2015,5.363
Cupick,Technology,Bengaluru,Group of angel investors from us/india,Seed Funding,990000.0,2015,0.099
CureJoy,Healthcare,Bengaluru,"Accel partners, Subrata mitra, Larry braitman, Venk krishna",Private Equity,9490000.0,2015,0.949
CustomFurnish,Households,Hyderabad,Agnus capital,Private Equity,37130000.0,2015,3.713
CustomFurnish,Households,Hyderabad,"Madhukar gangadi, Satish reddy, Srini raju, Srini koppolu & sidbi",Private Equity,20630000.0,2015,2.063
Daily Rounds,Healthcare,Bengaluru,"Kae capital, Gsf, Teruhide sato",Seed Funding,4130000.0,2015,0.413
Dealwithus,E-Commerce,Gurugram,Group of angel investors,Seed Funding,140000.0,2015,0.014
deGustibus,Food,Mumbai,India value fund advisors,Private Equity,247500000.0,2015,24.75
Delight Foods,Food,Bengaluru,"Lensbridge capital, Mape advisory group, Fireside ventures",Private Equity,4950000.0,2015,0.495
Deyor Rooms,Consumer Internet,Gurugram,Dheeraj jain & others,Seed Funding,4130000.0,2015,0.413
DiabetOmics,Healthcare,Hyderabad,"Ventureeast,  varaprasad reddy",Private Equity,41250000.0,2015,4.125
Didi,Transportation,Mumbai,"Jozef bardik, Leo wang sangeeth ram",Seed Funding,1240000.0,2015,0.124
Digital Gorkha,Media,Bengaluru,Ramesh kavediya,Seed Funding,1370000.0,2015,0.137
DocPlexus,Healthcare,Pune,"Uniqorn ventures, Asp consulting",Seed Funding,5780000.0,2015,0.578
Doctor Insta,Healthcare,Gurugram,"Rishi parti, Brahmax ventures",Private Equity,4130000.0,2015,0.413
Doormint,Services,Mumbai,"Helion venture partners, Kalaari capital",Private Equity,24750000.0,2015,2.475
Drivestream,Technology,Bengaluru,Wipro,Private Equity,41250000.0,2015,4.125
Droom,E-Commerce,Gurugram,"Lightbox ventures, Beenos",Private Equity,132000000.0,2015,13.2
DropKaffe,Food,Bengaluru,"Manish singhal, P39 capital & others",Seed Funding,2480000.0,2015,0.248
EarlySalary,FinTech,Pune,Ashok agarwal,Seed Funding,12380000.0,2015,1.238
EasyKhaana,Delivery,New Delhi,Undisclosed investors,Seed Funding,830000.0,2015,0.083
EasyRewardz,FinTech,Mumbai,"Wealth first, Ashneer grover, Atul phadnis",Private Equity,4130000.0,2015,0.413
Eat.Shop.Love,Personal Care,Bengaluru,Undisclosed investor,Private Equity,28880000.0,2015,2.888
Eattreatonline,Food,New Delhi,Group of 15 angel investors,Seed Funding,2890000.0,2015,0.289
EazyDiner,Consumer Internet,Gurugram,"Dsg consumer partners, Saama capital",Private Equity,24750000.0,2015,2.475
Ecom Express,Logistics,New Delhi,Warburg pincus,Private Equity,1130250000.0,2015,113.025
Edu4Share,Education,New Delhi,Nalin jain & other angel investors,Seed Funding,1820000.0,2015,0.182
EduKart,EdTech,New Delhi,"Holostik group, Youwecan ventures, 500 startups, Vijay shekhar sharma, Manish kheterpal, Amit patni",Private Equity,8250000.0,2015,0.825
eKincare,Healthcare,Hyderabad,Adroitent pvt. ltd.,Seed Funding,1330000.0,2015,0.133
elong,Data Analytics,Bengaluru,"Kunal bahl, Rohit bansal, Blume ventures, Phanindra sama, Raju reddy",Private Equity,41250000.0,2015,4.125
Enabli,Technology,Bengaluru,Hyderabad angels (at startup heroes event),Seed Funding,130000.0,2015,0.013
ePoise,Technology,Bengaluru,"Orios venture partners, Amit ranjan & others",Seed Funding,4130000.0,2015,0.413
eSadar,E-Commerce,New Delhi,"Neha vats, Gaurav vats",Seed Funding,660000.0,2015,0.066
etaout,E-Commerce,Noida,"Amit ranjan, Vijay shekhar sharma, Kunal bahl, Girish mathrubootham & group of other angel investors",Seed Funding,4130000.0,2015,0.413
EureQa,Technology,Hyderabad,"Sashi reddi, Gabriel investments",Seed Funding,4950000.0,2015,0.495
EveningFlavors,Food,Bengaluru,Sandiep shrivatsava,Seed Funding,4130000.0,2015,0.413
Explara,Event Management,Pune,"Hyderabad angels, Singapore angel network, Ness wadia",Private Equity,4040000.0,2015,0.404
Eywa Media,Media,Bengaluru,"Ah! ventures, Viktor koenig pe fund, Mantra ventures",Seed Funding,8250000.0,2015,0.825
Ezetap,FinTech,Bengaluru,"Horizons ventures, Capricorn investment group, Social+capital, Helion advisors, Berggruen holdings",Private Equity,206250000.0,2015,20.625
Faasos,Food,Pune,"Ru-net, Sequoia capital,  lightbox ventures",Private Equity,247500000.0,2015,24.75
Faasos,Food,Pune,Lightbox ventures,Private Equity,165000000.0,2015,16.5
Faaya,Personal Care,New Delhi,Group of angel investors,Seed Funding,140000.0,2015,0.014
Faircent,FinTech,Gurugram,M&s partners pte. ltd,Seed Funding,2060000.0,2015,0.206
Fintellix,Banking,Bengaluru,"Idg ventures, Sequoia capital",Private Equity,123750000.0,2015,12.375
FirstCry,E-Commerce,Pune,Valiant capital partners,Private Equity,214500000.0,2015,21.45
FirstCry,E-Commerce,Pune,"Silicon valley ventures, Nea ventures, Valiant capital, Idg ventures india,  saif partners, Vertex ventures",Private Equity,82500000.0,2015,8.25
FitMeIn,Consumer Internet,New Delhi,Green house ventures,Seed Funding,830000.0,2015,0.083
Fitraq,Healthcare,Gurugram,Tarun arora,Seed Funding,1240000.0,2015,0.124
Fitternity,Consumer Internet,Mumbai,Exfinity venture partners,Private Equity,8250000.0,2015,0.825
Flatchat,Technology,Bengaluru,Commonfloor,Private Equity,20630000.0,2015,2.063
Flatpebble,Services,Hyderabad,Indian angel network,Seed Funding,4950000.0,2015,0.495
FleetRover,Logistics,Goa,"Tim chen, Sanjay venkat",Seed Funding,1490000.0,2015,0.149
Flexing It,Sports,New Delhi,Undisclosed private investors,Seed Funding,4130000.0,2015,0.413
Flipkart,E-Commerce,Bengaluru,Steadview capital and existing investors,Private Equity,5775000000.0,2015,577.5
Flipkart,E-Commerce,Bengaluru,Morgan stanley,Private Equity,412500000.0,2015,41.25
Flytxt,Marketing,Mumbai,"Sunrise capital gmbh, Big data investments b.v",Private Equity,90750000.0,2015,9.075
Foodpanda,Food,Gurugram,Rocket internet ag & others,Private Equity,907500000.0,2015,90.75
Foodpanda,Food,Gurugram,"Goldman sachs, Rocket internet",Private Equity,825000000.0,2015,82.5
FoodTalkIndia,Food,Gurugram,Undisclosed investor,Seed Funding,4130000.0,2015,0.413
Footprints Education,Education,Gurugram,"letsventure, Kumar bansal, Kshitij jain",Seed Funding,5650000.0,2015,0.565
Fourseven,Personal Care,New Delhi,Indian angel network,Seed Funding,3750000.0,2015,0.375
Fourth Partner Energy,Energy,Hyderabad,"Infuse ventures, The chennai angels",Private Equity,16500000.0,2015,1.65
Fracktal Works,Technology,Bengaluru,Neoteric infomatique limited,Private Equity,24750000.0,2015,2.475
Frankly,Media,Mumbai,Matrix partners,Seed Funding,4950000.0,2015,0.495
FreeCharge,FinTech,Mumbai,"Valiant capital, Tybourne capital, Sequoia capital, Runet and sofina",Private Equity,660000000.0,2015,66.0
Freshdesk,Technology,Chennai,"Tiger global, Google capital & accel partners",Private Equity,412500000.0,2015,41.25
Frsh,Delivery,Chennai,"Mumbai angels, Mayank bhangdia, Kae capital",Private Equity,8250000.0,2015,0.825
Frsh,Delivery,Chennai,"India quotient, Kae capital",Seed Funding,4270000.0,2015,0.427
FundsIndia,Finance,Chennai,"Faering capital, Foundation capital, Inventus capital partners",Private Equity,90750000.0,2015,9.075
Furdo,Services,Bengaluru,Bhavdeep reddy,Seed Funding,3300000.0,2015,0.33
Furlenco,E-Commerce,Bengaluru,Lightbox ventures,Private Equity,49500000.0,2015,4.95
Fusion Microfinance,Finance,New Delhi,"Development finance institution belgian investment company, Oikocredit",Private Equity,70950000.0,2015,7.095
Fxkart,FinTech,Bengaluru,"Dr mushtaq shah, Dr faraz naqvi",Seed Funding,16500000.0,2015,1.65
Gadgetwood,Electronics,New Delhi,"Ajai chowdhry, Ashvin chadha, Yogesh bansal, \\nnitin singhal & others",Seed Funding,1650000.0,2015,0.165
GetMyPeon,Services,Mumbai,Undisclosed investors,Seed Funding,2060000.0,2015,0.206
Gingercrush,E-Commerce,Vadodara,"Gokul jaykrishna, Brand capital",Seed Funding,8250000.0,2015,0.825
Glamrs,Personal Care,Mumbai,"Ventureworks india, Blume ventures, Batlivala & karani securities, Nikunj jhaveri",Private Equity,8250000.0,2015,0.825
Godof Hospitals,Healthcare,New Delhi,Pankaj gupta,Seed Funding,16500000.0,2015,1.65
GoJavas,Logistics,Gurugram,Snapdeal,Private Equity,165000000.0,2015,16.5
Goodbox,E-Commerce,Bengaluru,Nexus venture partners,Private Equity,20630000.0,2015,2.063
Goodbox,E-Commerce,Bengaluru,Manipal group,Seed Funding,1650000.0,2015,0.165
Goodservice,Services,New Delhi,Sequoia capital,Private Equity,13200000.0,2015,1.32
GOQii,Healthcare,Mumbai,"New enterprise associates, Cheetah mobile",Private Equity,110550000.0,2015,11.055
Gozoomo,Transportation,Bengaluru,Saif partners,Private Equity,41250000.0,2015,4.125
Grab,Delivery,Mumbai,"Oliphans capital, Haresh chawla",Seed Funding,8250000.0,2015,0.825
Grabhouse,Real Estate,Bengaluru,Sequoia and kalaari capital.,Private Equity,82500000.0,2015,8.25
Grabhouse,Real Estate,Mumbai,"Kalaari capital, Sequoia capital",Private Equity,20630000.0,2015,2.063
GrandOpinion,Media,New Delhi,Florida based angel investor,Seed Funding,1240000.0,2015,0.124
Graphene,Technology,Mumbai,Karsemven fund,Private Equity,6810000.0,2015,0.681
Graphic India,Media,Bengaluru,"Ca media lp,  start media.",Seed Funding,23100000.0,2015,2.31
Grex,E-Commerce,Pune,"Kunal bajaj, Chandru badrinarayanan",Seed Funding,5360000.0,2015,0.536
Grey Orange,Technology,Gurugram,Tiger global management,Private Equity,247500000.0,2015,24.75
Gridle,Cloud Tech,Ahmedabad,Letsventure,Seed Funding,830000.0,2015,0.083
Grofers,E-Commerce,Gurugram,"Softbank, Tiger global, Sequoia capital, Apoletto managers",Private Equity,990000000.0,2015,99.0
Grofers,E-Commerce,Gurugram,"Tiger global, Sequoia capital",Private Equity,288750000.0,2015,28.875
Grofers,E-Commerce,Gurugram,"Tiger global management, Sequoia capital india",Private Equity,82500000.0,2015,8.25
Groupon India,E-Commerce,Gurugram,Sequoia capital,Private Equity,165000000.0,2015,16.5
Gympik,Healthcare,Bengaluru,"Tom clausen, Rohan ajila, Haldyn glass",Seed Funding,1110000.0,2015,0.111
HackerRank,Education,Bengaluru,Hr technology fund,Private Equity,61880000.0,2015,6.188
HandyHome,Technology,Mumbai,"Bessemer ventures, Kae capital",Seed Funding,5200000.0,2015,0.52
Hansa Customer Equity,IT,Mumbai,Ask pravi,Private Equity,41250000.0,2015,4.125
happay,FinTech,Bengaluru,Angelprime,Seed Funding,4130000.0,2015,0.413
Happitoo,Travel,Mumbai,Unnamed investor,Seed Funding,640000.0,2015,0.064
HeadOut,Travel,Bengaluru,"Version one ventures, 500 startups, Nexus venture partners and arena ventures",Seed Funding,14850000.0,2015,1.485
HealthyWorld.in,Healthcare,Gurugram,Group of angel investors,Seed Funding,1650000.0,2015,0.165
HeyPillow,Home & Lifestyle,Bengaluru,Hampton capital,Private Equity,24750000.0,2015,2.475
Hitwicket,Entertainment,Hyderabad,Chennai angels,Seed Funding,2060000.0,2015,0.206
Holachef,Delivery,Mumbai,"Kalaari capital, India quotient",Private Equity,25580000.0,2015,2.558
HolaChef,Delivery,Mumbai,India quotient,Seed Funding,2680000.0,2015,0.268
HolidayIQ,Travel,Bengaluru,Makemytrip,Private Equity,123750000.0,2015,12.375
Holidify,Travel,New Delhi,Aarti group,Seed Funding,830000.0,2015,0.083
Holisol Logistics,Logistics,New Delhi,Clsa capital partners aria iv funds,Private Equity,82500000.0,2015,8.25
HomeLane,Design,Bengaluru,Sequoia capital,Private Equity,412500000.0,2015,41.25
HomeLane,Design,Bengaluru,"Sequoia capital, Ranjan pai, Mohandas pai & others",Private Equity,37130000.0,2015,3.713
HomeStudio,Services,Bengaluru,Bren corporation,Private Equity,41250000.0,2015,4.125
Hopping Chef,Food,Mumbai,Mirah hospitality,Seed Funding,3880000.0,2015,0.388
Hopscotch,E-Commerce,Mumbai,Eduardo saverin & velos capital,Private Equity,90750000.0,2015,9.075
Hostel Dunia,Services,Bengaluru,Hyderabad angels (at startup heroes event),Seed Funding,130000.0,2015,0.013
Hotify,Media,Bengaluru,Mahavir pratap sharma,Seed Funding,1240000.0,2015,0.124
Housejoy,Services,Bengaluru,"Amazon, Vertex ventures, Qualcomm, Ru-net technology partners, Matrix partners",Private Equity,185630000.0,2015,18.563
Housejoy,Services,Bengaluru,Matrix partners,Private Equity,33000000.0,2015,3.3
HyperVerge,Cloud Tech,Chennai,"Nea, Milliways ventures, Naya ventures",Seed Funding,8250000.0,2015,0.825
i2e1,Internet,New Delhi,Growx ventures,Seed Funding,4130000.0,2015,0.413
Icertis,Consumer Internet,Pune,"Greycroft partners, Fidelity growth partners",Private Equity,49500000.0,2015,4.95
iCustomadeit,E-Commerce,Pune,Group of angel investors,Seed Funding,2060000.0,2015,0.206
IFMR Holdings,Finance,Chennai,"Accion, Leapfrog investments, Lok capital",Private Equity,206250000.0,2015,20.625
Ignis Careers,Services,Hyderabad,Acumen fund,Seed Funding,2060000.0,2015,0.206
Inayo,Delivery,Mumbai,"Kemark ventures, Amit ranjan, Zishaan hayath and others",Seed Funding,2480000.0,2015,0.248
IndiaLends,FinTech,New Delhi,"Dsg consumer partners, Paragon partners",Private Equity,8250000.0,2015,0.825
IndianRoots,E-Commerce,Gurugram,Kjs group,Private Equity,41250000.0,2015,4.125
Indix,Software,Chennai,"Nokia growth partners, Nexus venture partners, Avalon ventures",Private Equity,123750000.0,2015,12.375
IndustryBuying,E-Commerce,New Delhi,"Kalaari capital, Saif partners, Beenextan investment fund",Private Equity,75900000.0,2015,7.59
IndustryBuying,E-Commerce,New Delhi,Saif partners,Private Equity,16500000.0,2015,1.65
Infinity Assurance,Finance,New Delhi,indian angel network,Seed Funding,4950000.0,2015,0.495
Infogain,IT,New Delhi,Chryscapital,Private Equity,519750000.0,2015,51.975
